Optimizer,ModelType,Round_Fold,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
Adagrad,FEDERATED CNN,2,4,4,5.762916565,0.7460595369,0.4487291873,0.6802147031,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,4,5,5.751970768,0.7609457374,0.4487291873,0.6873025298,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,4,6,5.845018625,0.7644483447,0.4487291873,0.6394382715,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,1,17.73361945,0.6725043654,0.4487291873,0.871052742,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,2,5.726925611,0.7162871957,0.4487291873,0.7600252032,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,3,5.695085049,0.7276707292,0.4487291873,0.7033705711,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,4,5.53806448,0.7267950773,0.4487291873,0.7244682908,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,5,5.676375389,0.7504378557,0.4487291873,0.6591277719,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,2,5,6,5.70288682,0.7618213892,0.4487291873,0.6267505884,1.639746428,0.001000000047
Adagrad,FEDERATED CNN,3,1,1,17.34944439,0.74715662,0.4662576616,0.7212283611,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,1,2,5.778459549,0.7760279775,0.4662576616,0.6166833639,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,1,3,5.766268015,0.779527545,0.4662576616,0.6486126184,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,1,4,5.767619133,0.7891513705,0.4662576616,0.6047363877,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,1,5,5.790890217,0.795275569,0.4662576616,0.5769747496,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,1,6,5.83039403,0.7891513705,0.4662576616,0.5889570713,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,1,17.43587899,0.74715662,0.4662576616,0.7115289569,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,2,5.788792133,0.769903779,0.4662576616,0.6510810256,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,3,5.75249815,0.787401557,0.4662576616,0.6272621751,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,4,5.752762318,0.787401557,0.4662576616,0.5445116758,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,5,5.763072014,0.7812773585,0.4662576616,0.5985261202,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,2,6,5.618524551,0.7996500731,0.4662576616,0.5356381536,1.663606048,0.001000000047
Adagrad,FEDERATED CNN,3,3,1,17.86843824,0.7434325814,0.4662576616,0.7303179502,1.663606048,0.001000000047
