Round,Total_Comm_Bytes,RoundTimeSec,ValLoss,ValAcc
1,32546720,262.53101348876953,2.00337290763855,0.3891323506832123
2,32546720,257.553510427475,1.6936168670654297,0.3794916868209839
3,32546720,261.18185353279114,1.5800800323486328,0.399649441242218
4,32546720,247.21422672271729,1.523969292640686,0.4049079716205597
5,32546720,233.70677018165588,1.6076951026916504,0.41805434226989746
