Round,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
1,1,1,20.85628604888916,0.3420822322368622,,1.3437162637710571,,0.0010000000474974513
1,1,2,5.738938808441162,0.41032370924949646,,1.2747397422790527,,0.0010000000474974513
1,1,3,5.72413182258606,0.47069117426872253,,1.222817301750183,,0.0010000000474974513
1,1,4,5.7179529666900635,0.5083114504814148,,1.2021797895431519,,0.0010000000474974513
1,1,5,5.702991247177124,0.5310586094856262,,1.1770775318145752,,0.0010000000474974513
1,1,6,5.762360334396362,0.5590550899505615,,1.1546146869659424,,0.0010000000474974513
1,2,1,18.559101343154907,0.24759404361248016,,1.3734073638916016,,0.0010000000474974513
1,2,2,5.650481224060059,0.2808398902416229,,1.346614122390747,,0.0010000000474974513
1,2,3,5.468126058578491,0.4120734930038452,,1.2750916481018066,,0.0010000000474974513
1,2,4,5.685228109359741,0.4969378709793091,,1.2146648168563843,,0.0010000000474974513
1,2,5,5.704684257507324,0.5354330539703369,,1.1848422288894653,,0.0010000000474974513
1,2,6,5.553367853164673,0.5573053359985352,,1.1706362962722778,,0.0010000000474974513
1,3,1,21.505187511444092,0.28896671533584595,,1.3772187232971191,,0.0010000000474974513
1,3,2,5.668250560760498,0.38003501296043396,,1.3150030374526978,,0.0010000000474974513
1,3,3,5.2728259563446045,0.4474605917930603,,1.269454836845398,,0.0010000000474974513
1,3,4,5.4223127365112305,0.5008756518363953,,1.225530982017517,,0.0010000000474974513
1,3,5,5.6714489459991455,0.5280210375785828,,1.2049742937088013,,0.0010000000474974513
1,3,6,5.5418617725372314,0.553415060043335,,1.1935067176818848,,0.0010000000474974513
1,4,1,19.21775531768799,0.2880910634994507,,1.357944369316101,,0.0010000000474974513
1,4,2,5.67928147315979,0.3476357161998749,,1.3043172359466553,,0.0010000000474974513
1,4,3,5.475992202758789,0.4176882803440094,,1.2690974473953247,,0.0010000000474974513
1,4,4,5.6608264446258545,0.4273204803466797,,1.2527672052383423,,0.0010000000474974513
1,4,5,5.631149530410767,0.4754815995693207,,1.2229042053222656,,0.0010000000474974513
1,4,6,5.717855453491211,0.5070052742958069,,1.2043989896774292,,0.0010000000474974513
1,5,1,19.376646995544434,0.34150612354278564,,1.332287073135376,,0.0010000000474974513
1,5,2,5.535536289215088,0.408931702375412,,1.282861351966858,,0.0010000000474974513
1,5,3,5.666450500488281,0.4702276587486267,,1.2370450496673584,,0.0010000000474974513
1,5,4,5.582702159881592,0.4912434220314026,,1.214211344718933,,0.0010000000474974513
1,5,5,5.646553993225098,0.5070052742958069,,1.190696358680725,,0.0010000000474974513
1,5,6,5.406368255615234,0.5262696743011475,,1.1744451522827148,,0.0010000000474974513
2,1,1,18.66499614715576,0.5573053359985352,,1.165614366531372,,0.0010000000474974513
2,1,2,5.542680263519287,0.5835520625114441,,1.1508649587631226,,0.0010000000474974513
2,1,3,5.737243890762329,0.595800518989563,,1.1207093000411987,,0.0010000000474974513
2,1,4,5.78881049156189,0.5783027410507202,,1.1156331300735474,,0.0010000000474974513
2,1,5,5.807847261428833,0.5984252095222473,,1.1085255146026611,,0.0010000000474974513
2,1,6,5.495874404907227,0.6132983565330505,,1.0920876264572144,,0.0010000000474974513
2,2,1,18.892614364624023,0.5511810779571533,,1.16824209690094,,0.0010000000474974513
2,2,2,5.356449365615845,0.569553792476654,,1.1572414636611938,,0.0010000000474974513
2,2,3,5.210065841674805,0.581802248954773,,1.1320631504058838,,0.0010000000474974513
2,2,4,5.638232946395874,0.5905511975288391,,1.1219615936279297,,0.0010000000474974513
2,2,5,5.661447048187256,0.5940507650375366,,1.1119338274002075,,0.0010000000474974513
2,2,6,5.336285591125488,0.6089239120483398,,1.0888917446136475,,0.0010000000474974513
2,3,1,19.333129405975342,0.542907178401947,,1.1808332204818726,,0.0010000000474974513
2,3,2,5.388762950897217,0.5735551714897156,,1.1540000438690186,,0.0010000000474974513
2,3,3,5.544536113739014,0.5683012008666992,,1.1447126865386963,,0.0010000000474974513
2,3,4,5.600646018981934,0.6042031645774841,,1.1216071844100952,,0.0010000000474974513
2,3,5,5.520843982696533,0.6190893054008484,,1.106163740158081,,0.0010000000474974513
2,3,6,5.674461603164673,0.639229416847229,,1.0874390602111816,,0.0010000000474974513
2,4,1,19.294499397277832,0.542907178401947,,1.1696643829345703,,0.0010000000474974513
2,4,2,5.593589782714844,0.5297723412513733,,1.1761534214019775,,0.0010000000474974513
2,4,3,5.411478757858276,0.5639229416847229,,1.1454477310180664,,0.0010000000474974513
2,4,4,5.5995094776153564,0.5744308233261108,,1.138083815574646,,0.0010000000474974513
2,4,5,5.327397346496582,0.5875656604766846,,1.1113641262054443,,0.0010000000474974513
2,4,6,5.602381706237793,0.5971978902816772,,1.1230168342590332,,0.0010000000474974513
2,5,1,19.453115701675415,0.5516637563705444,,1.1730315685272217,,0.0010000000474974513
2,5,2,5.599091529846191,0.582311749458313,,1.1487613916397095,,0.0010000000474974513
