Fold No,Epoch No,Accuracy,Loss,Val_Accuracy,Val_Loss
5,14,0.9486,0.1496,0.9326,0.2141
5,15,0.9591,0.1297,0.9431,0.2103
5,16,0.9554,0.1324,0.9089,0.2953
5,17,0.9573,0.1265,0.9326,0.1919
5,18,0.9354,0.1878,0.9571,0.1184
5,19,0.9621,0.1076,0.9623,0.1231
5,20,0.9672,0.0945,0.965,0.1261
5,21,0.9718,0.0879,0.9606,0.1227
5,22,0.9713,0.0862,0.6909,1.1131
5,23,0.9687,0.0948,0.9588,0.1272
5,24,0.9731,0.0831,0.965,0.1229
5,25,0.977,0.0641,0.965,0.1241
5,26,0.9803,0.0612,0.9623,0.1338
5,27,0.9766,0.0747,0.9448,0.2307
5,28,0.9799,0.0638,0.9606,0.1381
5,29,0.9764,0.0762,0.9694,0.1087
5,30,0.9799,0.0587,0.9694,0.1041
,,,,,
,,,,,
,,,,,
,,,,,
,Metric,Value,,,
,Mean K-Fold Validation Accuracy,0.9666,,,
