Round,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
1,1,1,20.345951795578003,0.5853018164634705,,1.2211241722106934,,0.0010000000474974513
1,1,2,5.730643033981323,0.7252843379974365,,0.7628042697906494,,0.0010000000474974513
1,1,3,5.67234468460083,0.7462817430496216,,0.6773433089256287,,0.0010000000474974513
1,1,4,5.337946653366089,0.7646543979644775,,0.6170249581336975,,0.0010000000474974513
1,1,5,5.613487958908081,0.7847769260406494,,0.5816651582717896,,0.0010000000474974513
1,1,6,5.680433988571167,0.8066491484642029,,0.5300241112709045,,0.0010000000474974513
1,2,1,16.655473947525024,0.5608049035072327,,1.2220641374588013,,0.0010000000474974513
1,2,2,5.717463493347168,0.7034120559692383,,0.7843877077102661,,0.0010000000474974513
1,2,3,5.501873016357422,0.7104111909866333,,0.7444121241569519,,0.0010000000474974513
1,2,4,5.298178434371948,0.7340332269668579,,0.6598206758499146,,0.0010000000474974513
1,2,5,5.831027507781982,0.76115483045578,,0.6040095090866089,,0.0010000000474974513
1,2,6,5.806520700454712,0.7760279774665833,,0.5666260719299316,,0.0010000000474974513
1,3,1,19.749990224838257,0.6164623498916626,,1.1506108045578003,,0.0010000000474974513
1,3,2,5.604811906814575,0.6970227956771851,,0.8070578575134277,,0.0010000000474974513
1,3,3,5.70225191116333,0.7819615006446838,,0.6007735133171082,,0.0010000000474974513
1,3,4,5.742691993713379,0.7950963377952576,,0.5399218201637268,,0.0010000000474974513
1,3,5,5.676366329193115,0.7959719896316528,,0.532490611076355,,0.0010000000474974513
1,3,6,5.798376560211182,0.8309982419013977,,0.4583878219127655,,0.0010000000474974513
1,4,1,17.404960870742798,0.5761821269989014,,1.177562952041626,,0.0010000000474974513
1,4,2,5.639071702957153,0.6987740993499756,,0.8036547899246216,,0.0010000000474974513
1,4,3,5.57054591178894,0.7311733961105347,,0.7018563151359558,,0.0010000000474974513
1,4,4,5.69782567024231,0.7880910634994507,,0.5940069556236267,,0.0010000000474974513
1,4,5,5.811004161834717,0.7907180190086365,,0.5891554951667786,,0.0010000000474974513
1,4,6,5.645597457885742,0.7872154116630554,,0.5445264577865601,,0.0010000000474974513
1,5,1,17.514574766159058,0.571803867816925,,1.1860216856002808,,0.0010000000474974513
1,5,2,6.028928995132446,0.7189142107963562,,0.7485129237174988,,0.0010000000474974513
1,5,3,6.028418779373169,0.7697022557258606,,0.6150755286216736,,0.0010000000474974513
1,5,4,5.657029151916504,0.7732049226760864,,0.6347171068191528,,0.0010000000474974513
1,5,5,5.581550121307373,0.8047285676002502,,0.5374688506126404,,0.0010000000474974513
1,5,6,5.8795998096466064,0.8222416639328003,,0.49688267707824707,,0.0010000000474974513
2,1,1,17.3999605178833,0.6710411310195923,,0.8692458868026733,,0.0010000000474974513
2,1,2,5.731860160827637,0.7130358815193176,,0.7196058034896851,,0.0010000000474974513
2,1,3,6.157240867614746,0.7629046440124512,,0.6326041221618652,,0.0010000000474974513
2,1,4,5.837341070175171,0.7646543979644775,,0.6305073499679565,,0.0010000000474974513
2,1,5,5.662439584732056,0.762029767036438,,0.6146284341812134,,0.0010000000474974513
2,1,6,5.667739629745483,0.8101487159729004,,0.5344769358634949,,0.0010000000474974513
2,2,1,16.762747764587402,0.6474190950393677,,0.8815073370933533,,0.0010000000474974513
2,2,2,5.6020567417144775,0.7314085960388184,,0.711100161075592,,0.0010000000474974513
2,2,3,5.640445947647095,0.7576553225517273,,0.6763743758201599,,0.0010000000474974513
2,2,4,5.520437240600586,0.7742782235145569,,0.6019906401634216,,0.0010000000474974513
2,2,5,5.883382320404053,0.780402421951294,,0.5676723718643188,,0.0010000000474974513
2,2,6,5.865726947784424,0.7979002594947815,,0.5230435729026794,,0.0010000000474974513
2,3,1,17.31570053100586,0.6768826842308044,,0.8298045992851257,,0.0010000000474974513
2,3,2,5.692359209060669,0.7486864924430847,,0.6402561664581299,,0.0010000000474974513
2,3,3,5.868023633956909,0.7740805745124817,,0.5888646245002747,,0.0010000000474974513
2,3,4,5.752573728561401,0.7977232933044434,,0.5456144213676453,,0.0010000000474974513
2,3,5,5.854815244674683,0.8029772043228149,,0.5315718054771423,,0.0010000000474974513
2,3,6,5.9063591957092285,0.8257443308830261,,0.4915628135204315,,0.0010000000474974513
2,4,1,17.31621742248535,0.6444833874702454,,0.8867944478988647,,0.0010000000474974513
2,4,2,5.977946043014526,0.7154115438461304,,0.7393850684165955,,0.0010000000474974513
2,4,3,5.887895584106445,0.7591943740844727,,0.6018900871276855,,0.0010000000474974513
2,4,4,5.886237382888794,0.7915936708450317,,0.5720114707946777,,0.0010000000474974513
2,4,5,5.79437518119812,0.7828371524810791,,0.5334872007369995,,0.0010000000474974513
2,4,6,5.78401517868042,0.817863404750824,,0.5039129853248596,,0.0010000000474974513
2,5,1,17.448629140853882,0.6602451801300049,,0.8456829190254211,,0.0010000000474974513
2,5,2,6.102887392044067,0.7451838850975037,,0.6697117686271667,,0.0010000000474974513
2,5,3,5.736835956573486,0.774956226348877,,0.6004166603088379,,0.0010000000474974513
2,5,4,5.959376096725464,0.803852915763855,,0.5432690978050232,,0.0010000000474974513
2,5,5,5.759385108947754,0.821366012096405,,0.49476680159568787,,0.0010000000474974513
2,5,6,5.856927156448364,0.8309982419013977,,0.4515940845012665,,0.0010000000474974513
3,1,1,17.148730039596558,0.7454068064689636,,0.6861027479171753,,0.0010000000474974513
3,1,2,5.702610731124878,0.7585301995277405,,0.6229837536811829,,0.0010000000474974513
3,1,3,5.961366891860962,0.7891513705253601,,0.5602521300315857,,0.0010000000474974513
3,1,4,5.953334093093872,0.8048993945121765,,0.5275471210479736,,0.0010000000474974513
3,1,5,5.829023599624634,0.8363954424858093,,0.4490152597427368,,0.0010000000474974513
3,1,6,5.83376145362854,0.8363954424858093,,0.4546233117580414,,0.0010000000474974513
3,2,1,17.311429977416992,0.7471566200256348,,0.6966083645820618,,0.0010000000474974513
3,2,2,5.84386944770813,0.7734033465385437,,0.5965681076049805,,0.0010000000474974513
3,2,3,6.1216630935668945,0.8031495809555054,,0.5308891534805298,,0.0010000000474974513
3,2,4,5.6103668212890625,0.8066491484642029,,0.5349977016448975,,0.0010000000474974513
3,2,5,5.9086949825286865,0.8197725415229797,,0.4810890853404999,,0.0010000000474974513
3,2,6,5.947146892547607,0.84076988697052,,0.44853919744491577,,0.0010000000474974513
3,3,1,18.156737327575684,0.788966715335846,,0.5614067912101746,,0.0010000000474974513
3,3,2,5.813006401062012,0.7740805745124817,,0.5836004614830017,,0.0010000000474974513
3,3,3,5.779709815979004,0.8134850859642029,,0.5024007558822632,,0.0010000000474974513
