Fold,Epoch,Accuracy,Loss,Val Accuracy,Val Loss,Learning Rate
4,24,0.6807,0.8239,0.7023,0.7121,0.001
4,25,0.7002,0.7386,0.7084,0.6937,0.0005
4,26,0.7042,0.7055,0.7198,0.6668,0.0005
4,27,0.6873,0.7358,0.69,0.7045,0.0005
4,28,0.6775,0.732,0.6961,0.6701,0.0005
4,29,0.6816,0.7024,0.6804,0.695,0.0005
4,30,0.6939,0.6944,0.7189,0.6572,0.0005
5,1,0.4074,1.2452,0.4545,1.241,0.001
5,2,0.5427,1.1259,0.549,1.0742,0.001
5,3,0.5709,1.0389,0.6532,0.8708,0.001
5,4,0.6085,0.9582,0.6182,0.9296,0.001
5,5,0.612,0.9456,0.6708,0.8772,0.001
5,6,0.623,0.8947,0.6655,0.8203,0.001
5,7,0.6333,0.8797,0.6944,0.747,0.001
5,8,0.6361,0.8498,0.5657,0.9442,0.001
5,9,0.6241,0.8722,0.6576,0.7415,0.001
5,10,0.6407,0.8469,0.387,1.5321,0.001
5,11,0.6416,0.9157,0.7058,0.8445,0.001
5,12,0.6635,0.857,0.7102,0.6936,0.001
5,13,0.6477,0.813,0.6953,0.7009,0.001
5,14,0.6678,0.7789,0.6856,0.7088,0.001
5,15,0.665,0.8009,0.6559,0.7684,0.001
5,16,0.6713,0.7608,0.718,0.7284,0.001
5,17,0.6689,0.7781,0.7067,0.6672,0.001
5,18,0.6759,0.7474,0.7032,0.6778,0.001
5,19,0.6543,0.8027,0.6708,0.9154,0.001
5,20,0.6543,0.8498,0.7005,0.7282,0.001
5,21,0.6823,0.7476,0.7145,0.6611,0.001
5,22,0.6805,0.7411,0.6891,0.6981,0.001
5,23,0.6818,0.7391,0.7215,0.6285,0.001
5,24,0.6862,0.7249,0.7067,0.6975,0.001
5,25,0.6836,0.7166,0.7154,0.663,0.001
5,26,0.6788,0.7221,0.6944,0.7427,0.001
5,27,0.6742,0.7405,0.7049,0.6965,0.001
5,28,0.6606,0.7667,0.7259,0.6416,0.001
5,29,0.6862,0.7201,0.725,0.6396,0.0005
5,30,0.6832,0.722,0.7154,0.6722,0.0005
