,,,,,,,,,,,,
Global Model Initialization RESULTS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Fold No,Epoch No,Accuracy,Loss,Val_Accuracy,Val_Loss,Learning_Rate,,,Conclusion : Global Model Results,,,
4,20,0.9759,0.0714,0.9545,0.1445,5.00E-04,,,,,,
4,21,0.9816,0.0546,0.9597,0.1354,5.00E-04,,,,,,
4,22,0.9812,0.0527,0.9667,0.111,5.00E-04,,,,,,
4,23,0.9888,0.0349,0.9685,0.1031,2.50E-04,,,,,,
4,24,0.9919,0.0247,0.9746,0.0967,2.50E-04,,,,,,
4,25,0.9947,0.0158,0.9658,0.1242,2.50E-04,,,,,,
4,26,0.9928,0.0278,0.9737,0.101,2.50E-04,,,,,,
4,27,0.9952,0.0162,0.9737,0.111,2.50E-04,,,,,,
4,28,0.9954,0.0159,0.9772,0.1106,1.25E-04,,,,,,
4,29,0.9941,0.0179,0.9764,0.0896,1.25E-04,,,,,,
4,30,0.9921,0.0199,0.9781,0.0997,1.25E-04,,,,,,
5,1,0.6414,1.0548,0.2986,2.0437,0.001,,,,,,
5,2,0.7571,0.678,0.8109,0.521,0.001,,,,,,
5,3,0.8037,0.5409,0.7951,0.5752,0.001,,,,,,
5,4,0.8322,0.4597,0.8678,0.384,0.001,,,,,,
5,5,0.8608,0.3893,0.838,0.4493,0.001,,,,,,
5,6,0.8825,0.3172,0.894,0.3291,0.001,,,,,,
5,7,0.9046,0.2705,0.8932,0.3031,0.001,,,,,,
5,8,0.9044,0.2707,0.9081,0.2558,0.001,,,,,,
5,9,0.9282,0.2028,0.9326,0.1947,0.001,,,,,,
5,10,0.933,0.1963,0.9422,0.1673,0.001,,,,,,
5,11,0.9403,0.1709,0.8932,0.298,0.001,,,,,,
5,12,0.9475,0.1616,0.9387,0.1955,0.001,,,,,,
5,13,0.9521,0.1403,0.951,0.1346,0.001,,,,,,
5,14,0.9512,0.1396,0.9431,0.1804,0.001,,,,,,
5,15,0.9484,0.1494,0.9553,0.1363,0.001,,,,,,
5,16,0.965,0.1021,0.9194,0.2438,0.001,,,,,,
5,17,0.9744,0.0772,0.9553,0.1418,5.00E-04,,,,,,
5,18,0.9807,0.0619,0.9597,0.12,5.00E-04,,,,,,
5,19,0.9812,0.0568,0.9641,0.1273,5.00E-04,,,,,,
5,20,0.9818,0.0535,0.9615,0.1409,5.00E-04,,,,,,
5,21,0.9869,0.0417,0.965,0.1293,5.00E-04,,,,,,
5,22,0.9904,0.0347,0.979,0.0866,2.50E-04,,,,,,
5,23,0.9904,0.0272,0.9729,0.0891,2.50E-04,,,,,,
5,24,0.9937,0.0213,0.9702,0.1082,2.50E-04,,,,,,
5,25,0.9921,0.0234,0.9746,0.0847,2.50E-04,,,,,,
5,26,0.9917,0.0259,0.972,0.1043,2.50E-04,,,,,,
5,27,0.993,0.0268,0.972,0.1067,2.50E-04,,,,,,
5,28,0.9958,0.0181,0.9781,0.0813,2.50E-04,,,,,,
5,29,0.9915,0.0257,0.9737,0.1193,2.50E-04,,,,,,
5,30,0.9926,0.0218,0.9685,0.1284,2.50E-04,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CLIENT TRAINING RESULTS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
