Round No (Fold),Client No,Epoch No,Accuracy,Loss,Val_Accuracy (Global Model),Val_Loss (Global Model),Learning Rate,,,,,
4,2,4,0.8259,0.4618,N/A,N/A,0.001,,,,,
4,2,5,0.8609,0.3664,N/A,N/A,0.001,,,,,
4,2,6,0.8618,0.3464,N/A,N/A,0.001,,,,,
4,3,1,0.7601,0.6132,N/A,N/A,0.001,,,,,
4,3,2,0.8065,0.4972,N/A,N/A,0.001,,,,,
4,3,3,0.8284,0.4618,N/A,N/A,0.001,,,,,
4,3,4,0.8275,0.4579,N/A,N/A,0.001,,,,,
4,3,5,0.8739,0.3381,N/A,N/A,0.001,,,,,
4,3,6,0.8651,0.3794,N/A,N/A,0.001,,,,,
4,4,1,0.7583,0.6335,N/A,N/A,0.001,,,,,
4,4,2,0.81,0.4984,N/A,N/A,0.001,,,,,
4,4,3,0.8257,0.4861,N/A,N/A,0.001,,,,,
4,4,4,0.8222,0.4608,N/A,N/A,0.001,,,,,
4,4,5,0.8555,0.3852,N/A,N/A,0.001,,,,,
4,4,6,0.8616,0.3496,N/A,N/A,0.001,,,,,
4,5,1,0.768,0.616,N/A,N/A,0.001,,,,,
4,5,2,0.7925,0.5301,N/A,N/A,0.001,,,,,
4,5,3,0.7977,0.4961,N/A,N/A,0.001,,,,,
4,5,4,0.8546,0.3947,N/A,N/A,0.001,,,,,
4,5,5,0.8503,0.3928,N/A,N/A,0.001,,,,,
4,5,6,0.8503,0.4168,N/A,N/A,0.001,,,,,
4,Aggregated,Final,N/A,N/A,0.4943,1.2729,N/A,,,,,
5,1,1,0.8233,0.4816,N/A,N/A,0.001,,,,,
5,1,2,0.8574,0.3889,N/A,N/A,0.001,,,,,
5,1,3,0.888,0.2927,N/A,N/A,0.001,,,,,
5,1,4,0.8495,0.4087,N/A,N/A,0.001,,,,,
5,1,5,0.8959,0.3073,N/A,N/A,0.001,,,,,
5,1,6,0.9283,0.1893,N/A,N/A,5.00E-04,,,,,
5,2,1,0.8128,0.5166,N/A,N/A,0.001,,,,,
5,2,2,0.8469,0.417,N/A,N/A,0.001,,,,,
5,2,3,0.8731,0.341,N/A,N/A,0.001,,,,,
5,2,4,0.8863,0.2963,N/A,N/A,0.001,,,,,
5,2,5,0.9055,0.3014,N/A,N/A,0.001,,,,,
5,2,6,0.8828,0.3089,N/A,N/A,0.001,,,,,
5,3,1,0.8266,0.489,N/A,N/A,0.001,,,,,
5,3,2,0.8494,0.3994,N/A,N/A,0.001,,,,,
5,3,3,0.8625,0.3285,N/A,N/A,0.001,,,,,
5,3,4,0.9011,0.2521,N/A,N/A,0.001,,,,,
5,3,5,0.9063,0.2638,N/A,N/A,0.001,,,,,
5,3,6,0.9177,0.2384,N/A,N/A,0.001,,,,,
5,4,1,0.8398,0.4542,N/A,N/A,0.001,,,,,
5,4,2,0.8757,0.3506,N/A,N/A,0.001,,,,,
5,4,3,0.8643,0.3811,N/A,N/A,0.001,,,,,
5,4,4,0.8932,0.2899,N/A,N/A,0.001,,,,,
5,4,5,0.9089,0.2586,N/A,N/A,0.001,,,,,
5,4,6,0.9019,0.2527,N/A,N/A,0.001,,,,,
5,5,1,0.8117,0.5072,N/A,N/A,0.001,,,,,
5,5,2,0.8599,0.3787,N/A,N/A,0.001,,,,,
5,5,3,0.8722,0.3439,N/A,N/A,0.001,,,,,
5,5,4,0.8923,0.2984,N/A,N/A,0.001,,,,,
5,5,5,0.8818,0.3376,N/A,N/A,0.001,,,,,
5,5,6,0.9002,0.2561,N/A,N/A,0.001,,,,,
5,Aggregated,Final,N/A,N/A,0.5802,1.1362,N/A,,,,,
