Metric,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean (± Std. Dev)
Best Validation Accuracy,0.7174,0.7244,0.7627,0.7224,0.7513,0.7356 (± 0.0180)
Best Validation Loss,0.7231 (Epoch 27),0.5948 (Epoch 27),0.6509 (Epoch 21),0.6172 (Epoch 20),0.6316 (Epoch 16),N/A
,,,,,,
,,,,,,
Federated Round,Client ID,Local Accuracy (Final Epoch 6),Local Loss (Final Epoch 6),Global Validation Accuracy,Global Validation Loss,
Round 1,Client 1,0.5661,1.1288,0.2875,1.5647,
,Client 2,0.4523,1.2121,,,
,Client 3,0.4711,1.2018,,,
,Client 4,0.5053,1.2013,,,
,Client 5,0.3511,1.3029,,,
Round 2,Client 1,0.6194,1.019,0.5513,1.1444,
,Client 2,0.5381,1.1039,,,
,Client 3,0.5928,1.0429,,,
,Client 4,0.5613,1.1147*,,,
,Client 5,0.5746,1.0965,,,
,,,,,,
centralized model for comparison ,,,,,,
,,,,,,
Fold No,Epoch No,Train Accuracy,Train Loss,Val_Accuracy,Val_Loss,
4,23,0.6969,0.7328,0.7023,0.6976,
4,24,0.7166,0.6838,0.7137,0.673,
4,25,0.7179,0.6854,0.7119,0.6771,
5,1,0.4394,1.2349,0.338,1.5106,
5,2,0.5464,1.1319,0.5377,1.1812,
5,3,0.5726,1.0439,0.6725,0.8468,
5,4,0.5751,1.0098,0.6856,0.8644,
5,5,0.6142,0.9236,0.6182,0.881,
5,6,0.6179,0.9254,0.6716,0.8307,
5,7,0.6037,0.9297,0.6856,0.7722,
5,8,0.6092,0.9026,0.662,0.8168,
5,9,0.6462,0.8253,0.6708,0.7413,
5,10,0.6425,0.8373,0.7198,0.6718,
5,11,0.6551,0.8535,0.6988,0.7522,
5,12,0.6597,0.8019,0.7207,0.6656,
5,13,0.6735,0.7851,0.7434,0.6807,
5,14,0.681,0.799,0.7399,0.6572,
5,15,0.663,0.7995,0.6865,0.7602,
5,16,0.6875,0.7877,0.7513,0.6316,
5,17,0.6702,0.7988,0.7154,0.6924,
5,18,0.6632,0.8343,0.7364,0.6883,
5,19,0.665,0.809,0.7373,0.7351,
5,20,0.7048,0.7323,0.7426,0.645,
5,21,0.6965,0.7534,0.6848,0.7556,
,,,,,,
,,,,,,
FEDERATED CLIENT TRAINING RESULTS,,,,,,
,,,,,,
Round No,Client No,Epoch No,Train Accuracy,Train Loss,Learning Rate,
1,1,1,0.3045,1.3608,0.001,
1,1,2,0.3885,1.2753,0.001,
1,1,3,0.4059,1.2248,0.001,
1,1,4,0.5048,1.2057,0.001,
1,1,5,0.4821,1.2028,0.001,
1,1,6,0.5661,1.1288,0.001,
1,2,1,0.315,1.3651,0.001,
1,2,2,0.4121,1.324,0.001,
1,2,3,0.3893,1.2917,0.001,
1,2,4,0.4357,1.2556,0.001,
1,2,5,0.4243,1.2197,0.001,
1,2,6,0.4523,1.2121,0.001,
1,3,1,0.2986,1.3745,0.001,
1,3,2,0.3327,1.3636,0.001,
1,3,3,0.3564,1.2874,0.001,
1,3,4,0.3975,1.2597,0.001,
1,3,5,0.4615,1.2436,0.001,
1,3,6,0.4711,1.2018,0.001,
1,4,1,0.317,1.3726,0.001,
1,4,2,0.3765,1.286,0.001,
1,4,3,0.3564,1.2823,0.001,
1,4,4,0.486,1.2372,0.001,
1,4,5,0.556,1.1837,0.001,
1,4,6,0.5053,1.2013,0.001,
1,5,1,0.2504,1.3948,0.001,
1,5,2,0.296,1.3393,0.001,
1,5,3,0.3144,1.3096,0.001,
1,5,4,0.3012,1.2994,0.001,
1,5,5,0.4089,1.2815,0.001,
1,5,6,0.3511,1.3029,0.001,
2,1,1,0.5241,1.1863,0.001,
2,1,2,0.4943,1.238,0.001,
2,1,3,0.5066,1.179,0.001,
2,1,4,0.5704,1.1158,0.001,
2,1,5,0.5731,1.0841,0.001,
2,1,6,0.6194,1.019,0.001,
2,2,1,0.5153,1.1992,0.001,
2,2,2,0.5591,1.1642,0.001,
2,2,3,0.5941,1.1143,0.001,
2,2,4,0.5748,1.1007,0.001,
2,2,5,0.5214,1.1193,0.001,
2,2,6,0.5381,1.1039,0.001,
2,3,1,0.5245,1.1963,0.001,
2,3,2,0.5657,1.1658,0.001,
2,3,3,0.5876,1.1103,0.001,
2,3,4,0.641,1.0486,0.001,
2,3,5,0.6103,1.0596,0.001,
2,3,6,0.5928,1.0429,0.001,
2,4,1,0.5447,1.176,0.001,
2,4,2,0.5552,1.1447,0.001,
2,4,3,0.6033,1.097,0.001,
2,4,4,0.5797,1.113,0.001,
2,4,5,0.6095,1.055,0.001,
2,4,6,0.5613,1.1073,0.001,
2,5,1,0.5158,1.1956,0.001,
2,5,2,0.5184,1.212,0.001,
2,5,3,0.5271,1.1731,0.001,
2,5,4,0.5306,1.1671,0.001,
2,5,5,0.5403,1.1213,0.001,
2,5,6,0.5508,1.117,0.001,
3,1,1,0.6562,0.9636,0.001,
3,1,2,0.6369,0.9555,0.001,
3,1,3,0.6194,0.9595,0.001,
3,1,4,0.5818,1.0002,0.001,
