Fold,Epoch,Time,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,1,18.64140248298645,0.7032971382141113,0.7430509924888611,0.8747677206993103,0.6640419960021973
1,2,4.079005718231201,0.5847687125205994,0.7826657891273499,0.4343860149383545,0.8495188355445862
1,3,4.107870578765869,0.4901793897151947,0.8246881365776062,0.36906665563583374,0.847769021987915
1,4,4.099359750747681,0.4192105531692505,0.8474501967430115,0.3144667446613312,0.8845144510269165
1,5,4.10161280632019,0.3572026193141937,0.8739330172538757,0.2559666037559509,0.8993875980377197
1,6,4.091912031173706,0.3023662865161896,0.8929743766784668,0.22327345609664917,0.9230096340179443
1,7,4.0986621379852295,0.2623266577720642,0.9122346043586731,0.1815473586320877,0.9291338324546814
1,8,4.0705485343933105,0.23426297307014465,0.9205515384674072,0.3347020745277405,0.887139081954956
1,9,4.06127667427063,0.22606892883777618,0.9196760654449463,1.034193754196167,0.7069116234779358
1,10,4.0832297801971436,0.2174919694662094,0.92755526304245,0.19214972853660583,0.93438321352005
1,11,4.136760473251343,0.20024937391281128,0.9308382868766785,0.15287555754184723,0.9422572255134583
1,12,4.1514573097229,0.17639398574829102,0.940249502658844,0.1949111670255661,0.9291338324546814
1,13,4.1390509605407715,0.14626209437847137,0.9470343589782715,0.22379766404628754,0.9160104990005493
1,14,4.141669988632202,0.15020577609539032,0.9468154907226562,0.1318303644657135,0.9562554955482483
1,15,4.079857349395752,0.14266225695610046,0.9509739279747009,0.1305079162120819,0.9518809914588928
1,16,4.070504426956177,0.11475606262683868,0.960166335105896,0.1461641937494278,0.9527559280395508
1,17,4.071223258972168,0.10495280474424362,0.9647625088691711,0.12190497666597366,0.9641295075416565
1,18,4.0999674797058105,0.12495443224906921,0.9549135565757751,0.14107871055603027,0.9571303725242615
1,19,4.131386756896973,0.09543178975582123,0.9704530239105225,0.1347569227218628,0.9571303725242615
1,20,4.155079364776611,0.09050518274307251,0.9726417064666748,0.3521243929862976,0.8801400065422058
1,21,4.234269618988037,0.08570577949285507,0.9708907604217529,0.20297962427139282,0.9308836460113525
1,22,4.228659152984619,0.08851287513971329,0.9704530239105225,0.19965770840644836,0.9370078444480896
1,23,4.382265090942383,0.08309490978717804,0.973736047744751,0.1282901167869568,0.9623796939849854
1,24,4.143491744995117,0.09978670626878738,0.9636682271957397,0.11421271413564682,0.9641295075416565
1,25,4.270373344421387,0.05692600458860397,0.9796454310417175,0.11204346269369125,0.967629075050354
1,26,4.231196641921997,0.05279131978750229,0.9831473231315613,0.12699759006500244,0.9623796939849854
1,27,4.0755650997161865,0.05245138704776764,0.9842416048049927,0.14984671771526337,0.953630805015564
1,28,4.232393503189087,0.0611264742910862,0.9778944849967957,0.10786381363868713,0.9685039520263672
1,29,4.1962292194366455,0.0632752925157547,0.9796454310417175,0.1455138474702835,0.953630805015564
1,30,4.114197731018066,0.05638789385557175,0.9816152453422546,0.1337490677833557,0.9658792614936829
2,1,17.5556960105896,0.6974599957466125,0.7406434416770935,1.322371244430542,0.46631669998168945
2,2,4.111109733581543,0.48296859860420227,0.8257824182510376,0.9170090556144714,0.6666666865348816
2,3,4.064483404159546,0.4196091890335083,0.8496388792991638,0.34250980615615845,0.8757655024528503
2,4,4.057313442230225,0.3628637492656708,0.8717443346977234,0.36362603306770325,0.8503937125205994
2,5,4.097764015197754,0.31250256299972534,0.8920989036560059,0.4738662838935852,0.84076988697052
2,6,4.159080743789673,0.2823903262615204,0.9039177298545837,0.4705992639064789,0.8355205655097961
2,7,4.069741249084473,0.23902542889118195,0.924053430557251,0.21700860559940338,0.9291338324546814
2,8,4.136628150939941,0.2065039575099945,0.9312759637832642,0.19229312241077423,0.9291338324546814
2,9,4.062490463256836,0.19009487330913544,0.9354344606399536,0.20983301103115082,0.9212598204612732
2,10,4.096633672714233,0.13973549008369446,0.9544758200645447,0.16071581840515137,0.9518809914588928
2,11,4.083663463592529,0.1251457780599594,0.9623550176620483,0.20474913716316223,0.9352580904960632
2,12,4.095607042312622,0.12978361546993256,0.9584153890609741,0.21475371718406677,0.9335083365440369
2,13,4.146306991577148,0.11438832432031631,0.9652002453804016,0.20757009088993073,0.93438321352005
2,14,4.1363232135772705,0.1062711551785469,0.9667323231697083,0.1610945612192154,0.9501312375068665
2,15,4.126946449279785,0.10427781939506531,0.9649813771247864,0.16837044060230255,0.9527559280395508
2,16,4.160866022109985,0.10261182487010956,0.9643247723579407,0.18890777230262756,0.9431321024894714
2,17,4.2046403884887695,0.09617605805397034,0.9652002453804016,0.23197044432163239,0.9378827810287476
2,18,4.25800895690918,0.07963374257087708,0.9754869937896729,0.15087811648845673,0.9571303725242615
2,19,4.159668445587158,0.06523560732603073,0.9798642992973328,0.17766880989074707,0.953630805015564
2,20,4.152949333190918,0.0648309588432312,0.980083167552948,0.14737509191036224,0.9545056819915771
2,21,4.104197978973389,0.07093880325555801,0.9792076945304871,0.20741190016269684,0.9431321024894714
2,22,4.0626208782196045,0.07080379128456116,0.9759247303009033,0.18596801161766052,0.9501312375068665
2,23,4.081237554550171,0.06993760913610458,0.9783322215080261,0.14329983294010162,0.9615048170089722
2,24,4.100485324859619,0.05017179250717163,0.9842416048049927,0.15369382500648499,0.9641295075416565
2,25,4.087314128875732,0.05575663223862648,0.980083167552948,0.14957164227962494,0.9632545709609985
2,26,4.089121580123901,0.05260452255606651,0.9818341135978699,0.12773457169532776,0.9615048170089722
2,27,4.103654146194458,0.04681827500462532,0.9868680238723755,0.21318170428276062,0.9448819160461426
2,28,4.111157178878784,0.0431930273771286,0.986430287361145,0.16479751467704773,0.9588801264762878
2,29,4.071779251098633,0.036795031279325485,0.9886189699172974,0.18226833641529083,0.9553805589675903
2,30,4.1589484214782715,0.04066649451851845,0.9868680238723755,0.1903761327266693,0.9492563605308533
3,1,20.231043577194214,0.7607006430625916,0.7091903686523438,2.207113027572632,0.35464099049568176
3,2,4.136843919754028,0.5242910385131836,0.7993435263633728,0.7607638835906982,0.7758318781852722
3,3,4.127068519592285,0.4951442778110504,0.8221006393432617,0.5020759701728821,0.8029772043228149
3,4,4.117078542709351,0.41486990451812744,0.8466083407402039,0.4484694302082062,0.8231173157691956
