Fold,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
1,1,32.20583915710449,0.3738235831260681,0.40332457423210144,1.3149793148040771,1.5113306045532227,0.0010000000474974513
1,2,4.2130279541015625,0.5872182250022888,0.6019247770309448,1.135233998298645,1.2181357145309448,0.0010000000474974513
1,3,2.1709437370300293,0.6802363991737366,0.8005249500274658,0.9824912548065186,0.8490080237388611,0.0010000000474974513
1,4,4.21401047706604,0.7222586870193481,0.7935258150100708,0.8694435358047485,0.8032349944114685,0.0010000000474974513
1,5,4.3178017139434814,0.7430509924888611,0.794400691986084,0.7922701835632324,0.7159332036972046,0.0010000000474974513
1,6,4.397746562957764,0.7631866931915283,0.8101487159729004,0.7211146950721741,0.6699454188346863,0.0010000000474974513
1,7,4.334635496139526,0.790107250213623,0.8171478509902954,0.6604090332984924,0.6298461556434631,0.0010000000474974513
1,8,4.244489908218384,0.7763186693191528,0.7856518030166626,0.6637129187583923,0.6484687328338623,0.0010000000474974513
1,9,4.143465518951416,0.7920770645141602,0.8110235929489136,0.6151362657546997,0.6011990904808044,0.0010000000474974513
1,10,4.205268144607544,0.7953600287437439,0.8022747039794922,0.5985361933708191,0.555925190448761,0.0010000000474974513
1,11,2.4957029819488525,0.8014882802963257,0.8468941450119019,0.5818016529083252,0.5157109498977661,0.0010000000474974513
1,12,4.266652345657349,0.8089297413825989,0.8573928475379944,0.5678572654724121,0.4770052433013916,0.0010000000474974513
1,13,4.155815839767456,0.8187787532806396,0.8547681570053101,0.5293469429016113,0.482462614774704,0.0010000000474974513
1,14,4.28045392036438,0.8303786516189575,0.8320209980010986,0.5190377235412598,0.511563241481781,0.0010000000474974513
1,15,4.225188732147217,0.8279711008071899,0.8241469860076904,0.5206961631774902,0.556913435459137,0.0010000000474974513
1,16,4.219794511795044,0.8340993523597717,0.8390201330184937,0.5038431286811829,0.49077147245407104,0.0010000000474974513
1,17,4.190547227859497,0.8349748253822327,0.8617672920227051,0.4983878433704376,0.43388625979423523,0.0010000000474974513
1,18,4.15002965927124,0.8367257714271545,0.8486438989639282,0.4939805865287781,0.47211959958076477,0.0010000000474974513
1,19,1.3166899681091309,0.8400087356567383,0.7926509380340576,0.48540136218070984,0.5832494497299194,0.0010000000474974513
1,20,4.260867357254028,0.8483256697654724,0.8293963074684143,0.4653494656085968,0.5193570852279663,0.0010000000474974513
1,21,4.216369152069092,0.8452615737915039,0.8635170459747314,0.46591243147850037,0.4126349091529846,0.0010000000474974513
1,22,4.335975408554077,0.8411030769348145,0.8442694544792175,0.4729892909526825,0.4372340738773346,0.0010000000474974513
1,23,4.285842418670654,0.8546727895736694,0.8748906254768372,0.44264906644821167,0.4025093615055084,0.0010000000474974513
1,24,4.286463975906372,0.867804765701294,0.8932633399963379,0.4126896858215332,0.34867265820503235,0.0010000000474974513
1,25,4.250086784362793,0.8625519871711731,0.8775153160095215,0.41166141629219055,0.37214788794517517,0.0010000000474974513
1,26,4.328480005264282,0.8728386759757996,0.8827646374702454,0.40444257855415344,0.3821295201778412,0.0010000000474974513
1,27,2.796640157699585,0.8719632029533386,0.8845144510269165,0.4052286148071289,0.3830640912055969,0.0010000000474974513
1,28,4.351493835449219,0.8780915141105652,0.888014018535614,0.39370375871658325,0.33862021565437317,0.0010000000474974513
1,29,4.1166298389434814,0.8647406697273254,0.8687664270401001,0.41249409317970276,0.4017055332660675,0.0010000000474974513
1,30,4.7353127002716064,0.8783103227615356,0.8818897604942322,0.38791388273239136,0.38051286339759827,0.0010000000474974513
2,1,19.485759735107422,0.3751367926597595,0.25284337997436523,1.312888741493225,1.8732967376708984,0.0010000000474974513
2,2,4.369429349899292,0.527686595916748,0.5931758284568787,1.1411447525024414,1.1229448318481445,0.0010000000474974513
2,3,4.19895076751709,0.5913766622543335,0.5966753959655762,1.0282597541809082,1.0954228639602661,0.0010000000474974513
2,4,4.330448627471924,0.6430290937423706,0.7130358815193176,0.9268684387207031,0.7800557017326355,0.0010000000474974513
2,5,4.164694309234619,0.6907419562339783,0.714785635471344,0.8152188658714294,0.7408996820449829,0.0010000000474974513
2,6,2.2956860065460205,0.7318888306617737,0.7637795209884644,0.7218201160430908,0.6922670602798462,0.0010000000474974513
2,7,4.151797771453857,0.7644999027252197,0.7226596474647522,0.6776748299598694,0.7605547308921814,0.0010000000474974513
2,8,4.345449686050415,0.7885751724243164,0.8048993945121765,0.623942494392395,0.6239461898803711,0.0010000000474974513
2,9,4.2391204833984375,0.8010505437850952,0.7795275449752808,0.588545024394989,0.648337185382843,0.0010000000474974513
2,10,4.284015655517578,0.8049901723861694,0.787401556968689,0.5767011046409607,0.6207992434501648,0.0010000000474974513
2,11,4.193932056427002,0.8098052144050598,0.8320209980010986,0.5548548698425293,0.5226340293884277,0.0010000000474974513
2,12,4.443519353866577,0.8014882802963257,0.8390201330184937,0.5653631091117859,0.503816545009613,0.0010000000474974513
2,13,4.200331687927246,0.813525915145874,0.8486438989639282,0.5466589331626892,0.4976702034473419,0.0010000000474974513
2,14,4.290081977844238,0.8338804841041565,0.8372703194618225,0.5071426033973694,0.5316370129585266,0.0010000000474974513
2,15,4.192402601242065,0.830816388130188,0.8145231604576111,0.49584388732910156,0.5147969126701355,0.0010000000474974513
2,16,4.291248798370361,0.8314729928970337,0.8582677245140076,0.4938848912715912,0.4656396210193634,0.0010000000474974513
2,17,4.047301769256592,0.8351936936378479,0.8565179109573364,0.49657535552978516,0.46774524450302124,0.0010000000474974513
2,18,4.186614036560059,0.847012460231781,0.8451443314552307,0.46760767698287964,0.4941786527633667,0.0010000000474974513
2,19,4.075068473815918,0.8467935919761658,0.8206474184989929,0.4648590385913849,0.5123206377029419,0.0010000000474974513
2,20,4.250454425811768,0.8502954840660095,0.834645688533783,0.44073474407196045,0.46462321281433105,0.0010000000474974513
2,21,4.104229211807251,0.8623331189155579,0.8573928475379944,0.43281498551368713,0.4449879825115204,0.0010000000474974513
2,22,4.127067565917969,0.8555482625961304,0.8538932800292969,0.42585650086402893,0.46947717666625977,0.0010000000474974513
2,23,4.062490463256836,0.857955813407898,0.8652668595314026,0.4340288043022156,0.42718616127967834,0.0010000000474974513
2,24,4.227605819702148,0.8724009394645691,0.8678914904594421,0.4051452875137329,0.43480122089385986,0.0010000000474974513
2,25,4.218712329864502,0.8693368434906006,0.8722659945487976,0.4091360867023468,0.41787344217300415,0.0010000000474974513
2,26,4.203370094299316,0.876997172832489,0.8748906254768372,0.38746142387390137,0.42411112785339355,0.0010000000474974513
2,27,3.666062355041504,0.8710877895355225,0.867016613483429,0.40135592222213745,0.41740113496780396,0.0010000000474974513
2,28,3.5798845291137695,0.8815933465957642,0.8635170459747314,0.37741324305534363,0.4444170296192169,0.0010000000474974513
2,29,3.5878870487213135,0.8883782029151917,0.8547681570053101,0.360343873500824,0.49648645520210266,0.0010000000474974513
2,30,3.6428542137145996,0.8982271552085876,0.8783901929855347,0.34399163722991943,0.3986925184726715,0.0010000000474974513
3,1,22.449273824691772,0.5107221007347107,0.23380035161972046,1.174631118774414,1.359026551246643,0.0010000000474974513
3,2,3.993518590927124,0.6468271613121033,0.6225919723510742,0.9504337906837463,0.8992406725883484,0.0010000000474974513
3,3,3.9943411350250244,0.6838074326515198,0.6611208319664001,0.8381926417350769,0.8589581847190857,0.0010000000474974513
3,4,3.9477415084838867,0.7277899384498596,0.7513135075569153,0.7404288649559021,0.6489794254302979,0.0010000000474974513
3,5,3.98417067527771,0.7352297306060791,0.7583187222480774,0.6855301260948181,0.641455352306366,0.0010000000474974513
3,6,3.9443116188049316,0.7409190535545349,0.7460595369338989,0.6452153921127319,0.5883998870849609,0.0010000000474974513
3,7,3.9930362701416016,0.7452954053878784,0.7530648112297058,0.6233584880828857,0.6045276522636414,0.0010000000474974513
3,8,3.9374117851257324,0.7518599629402161,0.7486864924430847,0.5884384512901306,0.6109950542449951,0.0010000000474974513
3,9,4.068192958831787,0.7540481686592102,0.7329246997833252,0.6010013222694397,0.6397467851638794,0.0010000000474974513
3,10,3.972898483276367,0.779212236404419,0.6506129503250122,0.5844741463661194,1.0689979791641235,0.0010000000474974513
3,11,3.9509479999542236,0.7951859831809998,0.7828371524810791,0.5744538903236389,0.6439533829689026,0.0005000000237487257
3,12,3.9458916187286377,0.8231947422027588,0.8345008492469788,0.5221377015113831,0.5425214767456055,0.0005000000237487257
3,13,3.9870517253875732,0.8328227400779724,0.8327495455741882,0.5097445845603943,0.5324804782867432,0.0005000000237487257
3,14,4.032813310623169,0.8330415487289429,0.8345008492469788,0.49593475461006165,0.5382912755012512,0.0005000000237487257
3,15,3.971358060836792,0.8448577523231506,0.8064798712730408,0.4790901243686676,0.558403730392456,0.0005000000237487257
3,16,3.981882095336914,0.8428884148597717,0.8432574272155762,0.4779770076274872,0.5245757699012756,0.0005000000237487257
3,17,3.9676425457000732,0.8463894724845886,0.8327495455741882,0.46504226326942444,0.49194785952568054,0.0005000000237487257
3,18,4.010193347930908,0.8536105155944824,0.8248686790466309,0.4509201943874359,0.5473252534866333,0.0005000000237487257
3,19,3.970113754272461,0.8566739559173584,0.8021015524864197,0.44093057513237,0.559968113899231,0.0005000000237487257
3,20,3.9977364540100098,0.8612691760063171,0.8537653088569641,0.43667760491371155,0.4612329602241516,0.0005000000237487257
3,21,3.9523260593414307,0.862144410610199,0.8248686790466309,0.4267027676105499,0.5203858017921448,0.0005000000237487257
3,22,4.039330244064331,0.8625820279121399,0.8765323758125305,0.4234839379787445,0.4302098751068115,0.0005000000237487257
3,23,3.9467077255249023,0.8645514249801636,0.8721541166305542,0.41957804560661316,0.444425106048584,0.0005000000237487257
3,24,4.052877902984619,0.8704594969749451,0.8590192794799805,0.40942972898483276,0.4385600984096527,0.0005000000237487257
3,25,4.012299299240112,0.8776805400848389,0.8248686790466309,0.3951013684272766,0.5247745513916016,0.0005000000237487257
3,26,3.946943759918213,0.8798686861991882,0.8826619982719421,0.3897203505039215,0.41838228702545166,0.0005000000237487257
3,27,3.9847471714019775,0.8748359084129333,0.8537653088569641,0.39539834856987,0.4515955448150635,0.0005000000237487257
3,28,3.946669578552246,0.8822757005691528,0.8520140051841736,0.37432849407196045,0.45233485102653503,0.0005000000237487257
3,29,4.011976003646851,0.8835886120796204,0.8712784647941589,0.36541321873664856,0.4261457026004791,0.0005000000237487257
3,30,3.9563159942626953,0.8905907869338989,0.8476357460021973,0.36718907952308655,0.4509126543998718,0.0005000000237487257
4,1,20.339080333709717,0.39474835991859436,0.3931698799133301,1.2830389738082886,1.4317715167999268,0.0010000000474974513
4,2,4.093384027481079,0.5855579972267151,0.5726795196533203,1.048953652381897,1.1030296087265015,0.0010000000474974513
4,3,4.06632137298584,0.6993435621261597,0.7154115438461304,0.8897429704666138,0.8140867352485657,0.0010000000474974513
4,4,4.0839293003082275,0.7319474816322327,0.7740805745124817,0.7818127870559692,0.7061842679977417,0.0010000000474974513
4,5,4.077399015426636,0.7409190535545349,0.7661996483802795,0.711414098739624,0.6720932722091675,0.0010000000474974513
4,6,4.037597417831421,0.7608315348625183,0.8152364492416382,0.6718429327011108,0.6006338000297546,0.0010000000474974513
4,7,4.04300856590271,0.7717724442481995,0.7311733961105347,0.6413012146949768,0.7227007746696472,0.0010000000474974513
4,8,4.043838262557983,0.7735229730606079,0.8021015524864197,0.6320887207984924,0.5925307273864746,0.0010000000474974513
4,9,4.137573003768921,0.7857767939567566,0.8283712863922119,0.5980358123779297,0.5765366554260254,0.0010000000474974513
4,10,4.0078816413879395,0.8035010695457458,0.831873893737793,0.5803993940353394,0.5401662588119507,0.0010000000474974513
4,11,3.9872868061065674,0.8032822608947754,0.7697022557258606,0.5679418444633484,0.6845327615737915,0.0010000000474974513
4,12,4.013198375701904,0.8091903924942017,0.8327495455741882,0.5590550303459167,0.5611856579780579,0.0010000000474974513
4,13,4.003565073013306,0.8131291270256042,0.8458844423294067,0.5526490211486816,0.505803644657135,0.0010000000474974513
4,14,3.988948106765747,0.8275710940361023,0.8108581304550171,0.5121310353279114,0.527601957321167,0.0010000000474974513
4,15,3.9919190406799316,0.8223194479942322,0.8651488423347473,0.5063168406486511,0.4645625650882721,0.0010000000474974513
4,16,4.005272388458252,0.8341356515884399,0.8555166125297546,0.4945719540119171,0.4570751190185547,0.0010000000474974513
