Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
1,72.12276983261108,0.4086633026599884,0.45486414432525635,1.3183526992797852,1.2040480375289917,0.0010000000474974513
2,71.8935158252716,0.4718879759311676,0.37686240673065186,1.2118942737579346,1.4369419813156128,0.0010000000474974513
3,68.9387719631195,0.47298184037208557,0.3032427728176117,1.1747617721557617,1.3937636613845825,0.0010000000474974513
4,73.55536890029907,0.47407570481300354,0.3093777298927307,1.1708693504333496,1.2851554155349731,0.0010000000474974513
5,72.65900564193726,0.511047899723053,0.5547764897346497,1.1260147094726562,1.1515421867370605,0.0005000000237487257
6,70.73228478431702,0.5022971034049988,0.49430325627326965,1.1313785314559937,1.2347854375839233,0.0005000000237487257
7,77.30699491500854,0.5180485844612122,0.4697633683681488,1.0845954418182373,1.2605804204940796,0.0005000000237487257
8,78.09825468063354,0.5064537525177002,0.5118317008018494,1.122666597366333,1.318448543548584,0.0005000000237487257
9,72.53737473487854,0.5077663660049438,0.5205959677696228,1.1273866891860962,1.1698191165924072,0.0002500000118743628
10,67.5570421218872,0.507110059261322,0.5521472096443176,1.1085333824157715,1.1556777954101562,0.0002500000118743628
