Fold,Epoch,Time,accuracy,loss,val_accuracy,val_loss,learning_rate
5,15,65,0.5247,1.0077,0.5841,0.9475,0.0001
5,16,65,0.5405,0.994,0.6278,0.9164,0.0001
5,17,64,0.5602,0.9807,0.6033,0.9225,0.0001
5,18,66,0.5571,0.9805,0.6419,0.9182,0.0001
5,19,65,0.5801,0.9766,0.655,0.8772,0.0001
5,20,67,0.577,0.9599,0.6454,0.8887,0.0001
5,21,66,0.5818,0.9545,0.6699,0.8585,0.0001
5,22,65,0.5877,0.9433,0.6226,0.9003,0.0001
5,23,64,0.5891,0.9383,0.6585,0.8577,0.0001
5,24,64,0.6123,0.9114,0.6506,0.8784,0.0001
5,25,64,0.6085,0.9129,0.6602,0.8601,0.0001
5,26,65,0.6011,0.9098,0.6856,0.8278,0.0001
5,27,65,0.6234,0.8922,0.6944,0.8079,0.0001
5,28,64,0.6193,0.8885,0.683,0.8272,0.0001
5,29,65,0.6319,0.8808,0.704,0.7995,0.0001
5,30,67,0.6319,0.8748,0.7005,0.7943,0.0001
